,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Individual Asset,,,,,Portfolios,,,,,,Covariance Matrix,,,,,,,,,,,,,,,
,,,E(r),stdev,sharp,,,equal weight,Max return,min risk,max sharpe,,,AAPL,ADBE,AMZN,AXP,BRS,FE,EW,GOOG,JNJ,MA,NFLX,NVDA,REGN,SHW,WMT
,,JNJ,5.39695693781634%,0.162766120684241,0.331577413968488,,EW,6.66666666666667%,3.84756000268944%,0%,4.48652186568066%,,JNJ,0.0170094205113633,0.0239051296715091,0.0221816420135092,0.0274737373366185,0.0240882044778271,0.0184218179492207,0.0182669608510068,0.0195207319407895,0.0264839108789949,0.0229074755543574,0.017633204811887,0.0245873018760457,0.0262639711460217,0.0172577201029625,0.0149884696242584
,,MA,7.73191976442755%,0.33799038135175,0.228761532606482,,GOOG,6.66666666666667%,5.64470644592117%,0%,5.56410256192543%,,MA,0.0476202161211029,0.0536618402652608,0.0582073627090394,0.071160877612862,0.0552348914789453,0.0280384989705784,0.0300824849356776,0.048441569665502,0.0229074755543574,0.114199124524566,0.0459252543095914,0.067401506772322,0.0529307221015853,0.0375169683688304,0.0234380598066302
,,NFLX,7.02839016149527%,0.537173420876617,0.130840244292534,,JNJ,6.66666666666667%,34.8221415675495%,0%,41.3550243060917%,,NFLX,0.0448772124587927,0.0508203127020219,0.0758954731366279,0.0488159192969383,0.040826510042213,0.0197775046634009,0.0313909689535132,0.0442949895025214,0.017633204811887,0.0459252543095914,0.288458355885304,0.0718641513938664,0.0529418876291284,0.0338178106744587,0.0189339380028076
,,NVDA,8.79919582564702%,0.472183242830165,0.186351293894009,,MA,6.66666666666667%,1.94335546735674%,0%,0.73329667365892%,,NVDA,0.0633764035344269,0.0756134113743542,0.0687141797172245,0.0733488803150916,0.0693092717489426,0.0318500699814038,0.0362127753359811,0.0592295010172097,0.0245873018760457,0.067401506772322,0.0718641513938664,0.222882121623581,0.0694201985146954,0.0412862571427717,0.0233939859293699
,,REGN,7.80876941273975%,0.478078315970527,0.163336615610509,,NFLX,6.66666666666667%,0.924850125392033%,0%,1.01207405818497%,,REGN,0.0467598522190582,0.0551590543773285,0.0574761903855746,0.0622909477329192,0.0577315583193574,0.0242729127628908,0.0388882183014454,0.0472670210375884,0.0262639711460217,0.0529307221015853,0.0529418876291284,0.0694201985146954,0.228482101301584,0.0396482517728838,0.0258991367110983
,,SHW,6.43004299016761%,0.264596524310355,0.24301313129214,,NVDA,6.66666666666667%,1.61773694078091%,0%,0.301273451450109%,,SHW,0.0285212082017951,0.0360868126002816,0.03728854802784,0.0476579670631576,0.0347549588470896,0.0187803071204092,0.0224932898028845,0.0292339296929097,0.0172577201029625,0.0375169683688304,0.0338178106744587,0.0412862571427717,0.0396482517728838,0.0699878032701071,0.019401198855737
,,WMT,5.27017696729093%,0.198974047050801,0.264867556618848,,REGN,6.66666666666667%,0.170077719428335%,0%,0%,,WMT,0.0177246752490036,0.0221871829334619,0.0206440622626963,0.0266584090380809,0.0207802081342347,0.0168663178056392,0.015689285609649,0.0180536390959537,0.0149884696242584,0.0234380598066302,0.0189339380028076,0.0233939859293699,0.0258991367110983,0.019401198855737,0.0395773725514708
,,,,,,,SHW,6.66666666666667%,8.80915511173677%,0%,9.07228856203079%,,,,,,,,,,,,,,,,,
,,,,,,,WMT,6.66666666666667%,14.3700981305647%,0%,17.9627072988923%,,,,,,,,,,,,,,,,,
rm,0.072,,,,,,Total Weight ,100%,100%,99.9999962403839%,100%,,,,,,,,,,,,,,,,,
rf,0.0308,,,,,,E(r),7.14474546755845%,6.21761235043814%,9.0297021529749%,5.87773500918168%,,,,,,,,,,,,,,,,,
,,,,,,,stdev,0.21306192014836,0.162767044803757,0.373895044513169,0.152084393882444,,,,,,,,,,,,,,,,,
,beta,,,,,,sharpe,0.335336575516797,0.381994546742218,0.241503659529161,0.386478510985485,,,,,,,,,,,,,,,,,
AAPL,0.969746452873091,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADBE,1.14382992877566,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMZN,1.12396962517517,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXP,1.44410254671288,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRS,1.28212407144211,,,,,,,,,,,,,,,,,,,,,,,,,,,
FE,0.692376122419043,,,,,,,,,,,,,,,,,,,,,,,,,,,
EW,0.661236153529854,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOOG,0.950996155817888,,,,,,,,,,,,,,,,,,,,,,,,,,,
JNJ,0.562368188790374,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,1.12910673893873,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFLX,0.958347126576522,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVDA,1.38815432661336,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGN,1.14775956619897,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHW,0.813117230623205,,,,,,,,,,,,,,,,,,,,,,,,,,,
WMT,0.531596351284206,,,,,,,,,,,,,,,,,,,,,,,,,,,
